klub;id;imnz;rokur;wzrost;waga
Podbeskidzie Bielsko-Biała;6273;Mateusz Bąk;1983;186;85
Podbeskidzie Bielsko-Biała;15046;Bartłomiej Danowski;1992;187;81
Podbeskidzie Bielsko-Biała;20352;Bartosz Kostyra;1994;189;73
Podbeskidzie Bielsko-Biała;13353;Maciej Wierzbicki;1991;190;85
Podbeskidzie Bielsko-Biała;6747;Richard Zajac;1976;186;81
Podbeskidzie Bielsko-Biała;6513;Jacek Broniewicz;1981;185;84
Podbeskidzie Bielsko-Biała;16402;Damian Byrtek;1991;193;84
Podbeskidzie Bielsko-Biała;5330;Sławomir Cienciała;1983;183;79
Podbeskidzie Bielsko-Biała;8356;Juraj Dančík;1982;189;84
Podbeskidzie Bielsko-Biała;5108;Tomasz Górkiewicz;1985;185;76
Podbeskidzie Bielsko-Biała;901;Bartłomiej Konieczny;1981;193;92
Podbeskidzie Bielsko-Biała;6187;Krzysztof Król;1987;184;73
Podbeskidzie Bielsko-Biała;1535;Michał Osiński;1978;180;74
Podbeskidzie Bielsko-Biała;18873;Ondřej Šourek;1983;188;88
Podbeskidzie Bielsko-Biała;10465;Damian Chmiel;1987;174;73
Podbeskidzie Bielsko-Biała;20878;Liran Cohen;1983;174;70
Podbeskidzie Bielsko-Biała;3611;Dariusz Kołodziej;1982;177;73
Podbeskidzie Bielsko-Biała;5106;Piotr Koman;1985;183;74
Podbeskidzie Bielsko-Biała;1174;Dariusz Łatka;1978;172;65
Podbeskidzie Bielsko-Biała;4967;Piotr Malinowski;1984;170;66
Podbeskidzie Bielsko-Biała;19431;František Metelka;1980;187;77
Podbeskidzie Bielsko-Biała;19422;Matej Náther;1985;173;70
Podbeskidzie Bielsko-Biała;3197;Maciej Rogalski;1980;180;73
Podbeskidzie Bielsko-Biała;5669;Mariusz Sacha;1987;176;70
Podbeskidzie Bielsko-Biała;3759;Marek Sokołowski;1978;181;75
Podbeskidzie Bielsko-Biała;7536;Sebastian Ziajka;1982;182;75
Podbeskidzie Bielsko-Biała;3916;Adam Cieśliński;1982;179;76
Podbeskidzie Bielsko-Biała;17459;Róbert Demjan;1982;181;76
Podbeskidzie Bielsko-Biała;20350;Daniel Gołuch;1993;182;72
Podbeskidzie Bielsko-Biała;20612;Mateusz Janeczko;1994;174;64
Podbeskidzie Bielsko-Biała;13394;Sylwester Patejuk;1982;188;80
Podbeskidzie Bielsko-Biała;4343;Adrian Sikora;1980;170;67
Polonia Warszawa;8382;Michał Gliwa;1988;188;76
Polonia Warszawa;14114;Adrian Lis;1992;192;78
Polonia Warszawa;3898;Sebastian Przyrowski;1981;192;79
Polonia Warszawa;85;Marcin Baszczyński;1977;182;75
Polonia Warszawa;2634;Tomasz Brzyski;1982;170;68
Polonia Warszawa;19389;Đorđe Čotra;1984;184;81
Polonia Warszawa;5647;Tomasz Jodłowiec;1985;190;86
Polonia Warszawa;5949;Adam Kokoszka;1986;187;82
Polonia Warszawa;4844;Radek Mynář;1974;177;69
Polonia Warszawa;8188;Maciej Sadlok;1989;186;80
Polonia Warszawa;19489;Aleksandar Todorovski;1984;181;73
Polonia Warszawa;6037;Jakub Tosik;1987;182;74
Polonia Warszawa;5549;Grzegorz Bonin;1983;188;78
Polonia Warszawa;9809;Bruno;1986;184;83
Polonia Warszawa;18512;Róbert Jež;1981;178;72
Polonia Warszawa;6615;Łukasz Piątek;1985;180;71
Polonia Warszawa;16857;Miłosz Przybecki;1991;176;66
Polonia Warszawa;4459;Łukasz Trałka;1984;186;77
