Numer;Reprezentacja;Pozycja;Wiek;Wzrost;Waga;LWwR
16;wales;wing;25;175;83;4
17;wales;scrumhalf;29;177;89;3
18;wales;prop;25;182;108;6
19;wales;lock;24;198;125;18
20;wales;number-8;27;193;117;31
21;wales;wing;26;175;83;4
22;wales;prop;30;182;106;9
23;wales;flanker;28;182;96;8
24;wales;centre;26;185;87;17
25;wales;wing;25;187;104;37
26;wales;lock;29;198;107;19
27;wales;wing;24;193;98;3
28;wales;flanker;24;187;100;11
29;wales;lock;26;195;107;15
30;wales;prop;32;185;113;36
01;western_samoa;prop;26;180;114;3
02;western_samoa;flyhalf;33;178;90;15
03;western_samoa;scrumhalf;24;182;95;6
04;western_samoa;prop;29;180;120;9
05;western_samoa;lock;29;196;115;18
06;western_samoa;centre;25;184;88;6
07;western_samoa;number-8;26;189;111;4
08;western_samoa;flanker;26;184;96;8
09;western_samoa;number-8;31;187;104;32
10;western_samoa;centre;24;179;95;24
11;western_samoa;fullback;25;179;94;4
12;western_samoa;hooker;24;174;115;11
13;western_samoa;wing;27;178;92;35
14;western_samoa;hooker;24;180;96;2
15;western_samoa;prop;30;186;110;13
16;western_samoa;lock;24;195;105;8
17;western_samoa;flanker;31;190;105;17
18;western_samoa;prop;28;185;108;15
19;western_samoa;flanker;25;188;98;3
20;western_samoa;wing;25;175;88;10
21;western_samoa;scrumhalf;22;177;82;8
22;western_samoa;flanker;26;193;105;14
23;western_samoa;wing;26;175;87;3
24;western_samoa;flanker;28;185;95;2
25;western_samoa;lock;28;200;102;10
26;western_samoa;wing;30;180;105;11
27;western_samoa;fullback;33;183;90;14
28;western_samoa;centre;34;178;86;42
29;western_samoa;flyhalf;27;170;84;7
30;western_samoa;flyhalf;23;170;75;3
